Parade Allocation Results
Generated on,060125 07:34

Total People,1006
Contingent Capacity,90
Objective Value,149.00
Alpha,1.0
Beta,5.0

Contingent #,Total People,Group Assignments,Number of Groups
1,90,Inf (1):90,1
2,90,Inf (2):90,1
3,90,DIS:90,1
4,90,ETI:90,1
5,86,IDTI:86,1
6,90,SI:90,1
7,89,"CSSCOM:45, ETI:27, SI:17",3
8,89,"Navy:77, AI:12",2
9,67,"Inf (2):23, ATI:44",2
10,46,SMI-I:46,1
11,89,"Inf (1):37, Air Force:30, DIS:22",3
12,90,CSSCOM:90,1

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
