Parade Allocation Results
Generated on,060125 08:05

Total People,1006
Contingent Capacity,90
Objective Value,234.00
Alpha,1.0
Beta,10.0

Contingent #,Total People,Group Assignments,Number of Groups
1,90,Inf (1):90,1
2,90,Inf (2):90,1
3,90,DIS:90,1
4,71,"Inf (1):37, DIS:22, AI:12",3
5,80,ETI:80,1
6,90,"CSSCOM:53, ETI:37",2
7,82,CSSCOM:82,1
8,86,IDTI:86,1
9,80,"Navy:77, SMI-I:3",2
10,70,"Inf (2):23, Air Force:30, SI:17",3
11,90,SI:90,1
12,87,"ATI:44, SMI-I:43",2

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
