Parade Allocation Results
Generated on,030125 00:31

Total People,1006
Contingent Capacity,90
Objective Value,154.00
Alpha,1.0
Beta,5.0

Contingent #,Total People,Group Assignments,Number of Groups
1,90,Inf (1):90,1
2,90,Inf (2):90,1
3,68,CSSCOM:68,1
4,90,DIS:90,1
5,86,IDTI:86,1
6,90,SI:90,1
7,77,Navy:77,1
8,59,"Inf (1):37, DIS:22",2
9,90,ETI:90,1
10,88,"ETI:27, ATI:44, SI:17",3
11,90,"Inf (2):23, CSSCOM:67",2
12,88,"Air Force:30, AI:12, SMI-I:46",3

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
