Parade Allocation Results
Generated on,030125 07:08

Total People,1006
Contingent Capacity,90
Objective Value,154.00
Alpha,1.0
Beta,5.0

Contingent #,Total People,Group Assignments,Number of Groups
1,90,Inf (1):90,1
2,90,Inf (2):90,1
3,90,DIS:90,1
4,90,"Air Force:30, SI:60",2
5,90,ETI:90,1
6,90,"DIS:22, CSSCOM:68",2
7,90,"Inf (2):13, Navy:77",2
8,89,"Inf (2):10, CSSCOM:67, AI:12",3
9,86,IDTI:86,1
10,74,"ETI:27, SI:47",2
11,83,"Inf (1):37, SMI-I:46",2
12,44,ATI:44,1

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
