Parade Allocation Results
Generated on,030125 16:24

Total People,1006
Contingent Capacity,85
Objective Value,99.00
Alpha,1.0
Beta,5.0

Contingent #,Total People,Group Assignments,Number of Groups
1,85,Inf (1):85,1
2,85,Inf (2):85,1
3,85,DIS:85,1
4,85,"CSSCOM:51, ETI:34",2
5,84,CSSCOM:84,1
6,81,"Inf (1):42, DIS:27, AI:12",3
7,85,"Inf (2):11, Air Force:30, ATI:44",3
8,85,SI:85,1
9,85,"Inf (2):17, SI:22, SMI-I:46",3
10,83,ETI:83,1
11,85,"Navy:77, IDTI:8",2
12,78,IDTI:78,1

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
