Parade Allocation Results
Generated on,060125 07:44

Total People,1006
Contingent Capacity,90
Objective Value,154.00
Alpha,1.0
Beta,5.0

Contingent #,Total People,Group Assignments,Number of Groups
1,90,Inf (1):90,1
2,90,Inf (2):90,1
3,90,DIS:90,1
4,74,"Inf (2):23, SI:51",2
5,90,CSSCOM:90,1
6,75,"Air Force:30, CSSCOM:45",2
7,90,ETI:90,1
8,90,"ATI:44, SMI-I:46",2
9,80,"Inf (1):3, Navy:77",2
10,61,"Inf (1):34, ETI:27",2
11,86,IDTI:86,1
12,90,"DIS:22, AI:12, SI:56",3

Summary Statistics
Total Contingents Used,12
Total People Assigned,1006
All Members Assigned,Yes
